
The number of Frequencies is 42

Test density of states: n-pentyl

    200         108573         109302         107018
    300   1.10467e+006   1.11471e+006   1.10416e+006
    400   9.47551e+006   9.57881e+006   9.52754e+006
    500   7.51875e+007    7.6118e+007   7.58565e+007
    600   5.66164e+008   5.73865e+008   5.72494e+008
    700   4.05869e+009    4.1181e+009   4.11086e+009
    800    2.7655e+010   2.80843e+010   2.80465e+010
    900   1.78827e+011   1.81741e+011   1.81547e+011
   1000   1.09676e+012   1.11537e+012    1.1144e+012
   1100   6.38153e+012   6.49356e+012   6.48894e+012
   1200   3.52578e+013   3.58953e+013   3.58738e+013
   1300   1.85209e+014   1.88644e+014   1.88548e+014
   1400   9.26437e+014   9.43992e+014   9.43577e+014
   1500   4.42035e+015   4.50501e+015   4.50328e+015
   1600   2.01539e+016    2.0529e+016    2.0522e+016
   1700   8.79654e+016   8.93504e+016   8.93237e+016
   1800   3.68218e+017   3.70915e+017   3.70816e+017
   1900   1.48086e+018   1.46386e+018   1.46351e+018
   2000   5.73182e+018   5.46856e+018   5.46738e+018
   2100   2.13881e+019   1.92545e+019   1.92507e+019
   2200    7.7065e+019   6.36949e+019   6.36836e+019
   2300   2.68545e+020   1.97677e+020   1.97645e+020
   2400   9.06342e+020   5.75679e+020   5.75593e+020
   2500   2.96684e+021   1.57569e+021   1.57548e+021
   2600   9.43191e+021   4.06388e+021   4.06337e+021
   2700   2.91581e+022   9.90732e+021   9.90615e+021
   2800   8.77591e+022   2.29092e+022   2.29067e+022
   2900   2.57449e+023   5.04231e+022   5.04179e+022
   3000   7.36922e+023   1.06003e+023   1.05993e+023

Normalization constants
1.73521e-017
-8.87432e-017
1.30595e-016
-4.48999e-017
2.38449e-016
1.01921e-016
7.1161e-017
4.77281e-017
1.78169e-016
2.09702e-017
2.55119e-017
-2.7482e-017
1.38623e-016
-5.97251e-017
1.72596e-016
1.70875e-016
2.08762e-017
6.15463e-017
3.13987e-017
1.33716e-017
1.85903e-017
-5.14894e-017
2.89175e-018
1.53833e-016
6.78891e-018
4.15634e-017
9.23924e-017
3.91155e-017
-1.97101e-017
4.63219e-017
-9.1871e-017
-1.78812e-016
-1.10183e-017
-3.17387e-017
-1.05235e-017
3.32137e-017
-4.19556e-017
-1.5495e-017
6.24886e-017
9.01523e-017
3.48694e-017
1.41517e-016
1.06408e-016
4.27022e-017
1.67208e-017
1.46074e-017
-7.97942e-017
9.5644e-017
6.57681e-017
6.49202e-017
-1.77527e-016
7.64182e-017
-4.26603e-017
-8.91813e-017
-7.47245e-017
9.82613e-017
9.24789e-017
1.5428e-016
1.8479e-017
2.55002e-017
2.32997e-017
-1.31496e-016
1.78171e-016
-3.0431e-018
6.95936e-017
-1.14789e-016
3.41908e-017
-1.55953e-016
-7.17597e-017
6.35136e-017
-9.4336e-017
-1.06368e-016
-2.80917e-016
1.15744e-016
6.83822e-017
-1.59794e-016
-3.96878e-017
2.98576e-017
1.08273e-016
1.54492e-016
-1.02862e-016
2.15409e-016
-4.22782e-017
9.30903e-017
-1.76755e-017
1.08558e-016
-1.04006e-016
-1.13914e-016
4.8199e-017
-1.05884e-017
-1.774e-017
1.13886e-016
1.09109e-016
1.27233e-016
-6.21513e-017
5.38825e-017
-1.32762e-016
2.34524e-017
6.03795e-017
-7.75667e-017
-3.52306e-017
-6.79918e-017
1.53183e-016
-7.31328e-018
-6.67089e-017
5.90721e-017
2.41506e-016
2.89211e-017
-4.2826e-017
-1.0842e-018
-2.48499e-016
1.77809e-016
1.16226e-016
-1.38778e-016
-6.93889e-017
-2.77556e-017
0

The number of Frequencies is 42

Test density of states: 2-pentyl

    200         453948         458208         448640
    300   4.50266e+006    4.5549e+006   4.51183e+006
    400   3.74405e+007   3.79394e+007   3.77363e+007
    500   2.88325e+008   2.92578e+008   2.91573e+008
    600   2.11387e+009   2.14762e+009   2.14249e+009
    700   1.48083e+010     1.506e+010   1.50336e+010
    800   9.89361e+010   1.00706e+011   1.00571e+011
    900   6.29173e+011   6.40921e+011   6.40239e+011
   1000   3.80446e+012    3.8781e+012   3.87476e+012
   1100   2.18704e+013   2.23069e+013   2.22911e+013
   1200   1.19588e+014   1.22039e+014   1.21966e+014
   1300   6.22604e+014   6.35666e+014   6.35341e+014
   1400   3.09027e+015   3.15638e+015   3.15499e+015
   1500   1.46452e+016   1.49617e+016    1.4956e+016
   1600   6.63758e+016    6.7777e+016   6.77542e+016
   1700   2.88189e+017   2.93473e+017   2.93386e+017
   1800   1.20071e+018   1.21285e+018   1.21253e+018
   1900   4.80874e+018   4.76852e+018   4.76738e+018
   2000    1.8543e+019   1.77577e+019   1.77539e+019
   2100   6.89587e+019   6.23628e+019   6.23506e+019
   2200   2.47708e+020   2.05872e+020   2.05835e+020
   2300   8.60772e+020   6.37864e+020    6.3776e+020
   2400   2.89772e+021   1.85514e+021   1.85486e+021
   2500   9.46334e+021   5.07232e+021   5.07162e+021
   2600   3.00205e+022   1.30708e+022   1.30692e+022
   2700   9.26228e+022   3.18431e+022   3.18393e+022
   2800   2.78263e+023   7.35901e+022    7.3582e+022
   2900   8.14926e+023   1.61895e+023   1.61878e+023
   3000   2.32897e+024   3.40211e+023   3.40179e+023

Normalization constants

65.0545 -0.848368
160.638 -0.0725123
258.276 0.0881873
357.055 0.143049
